unit_id,equipment_type,timestamp,vibration_mm_s,temperature_c,current_a,rpm,pressure_bar,hours_since_maintenance,days_to_failure,failure_mode,will_fail_7d,will_fail_14d,is_failure_event,failure_risk_score
EQ-001,Centrifugal Pump,2025-01-02 00:00:00,1.948,42.81,16.98,1752.1,5.919,947.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-02 06:00:00,1.937,43.35,17.53,1754.8,5.843,953.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-02 12:00:00,1.863,42.73,17.03,1744.0,5.794,959.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-02 18:00:00,2.015,43.34,16.78,1756.3,5.81,965.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-03 00:00:00,1.927,43.33,17.32,1750.6,5.716,971.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-03 06:00:00,1.768,42.81,16.62,1754.7,5.734,977.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-03 12:00:00,1.87,43.5,16.96,1753.3,5.732,983.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-03 18:00:00,1.881,43.08,17.21,1752.6,5.723,989.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-04 00:00:00,1.862,43.55,17.08,1751.6,5.801,995.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-04 06:00:00,1.935,43.72,17.9,1749.8,5.734,1001.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-04 12:00:00,1.843,43.16,17.33,1746.0,5.836,1007.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-04 18:00:00,1.983,42.87,17.23,1751.2,5.851,1013.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-05 00:00:00,1.864,43.81,17.33,1748.8,5.717,1019.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-05 06:00:00,1.846,43.75,17.15,1742.6,5.771,1025.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-05 12:00:00,2.015,43.58,17.2,1754.2,5.795,1031.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-05 18:00:00,1.99,42.94,17.72,1746.7,5.824,1037.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-06 00:00:00,1.987,42.88,17.24,1749.2,5.835,1043.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-06 06:00:00,1.935,43.7,17.4,1748.6,5.641,1049.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-06 12:00:00,1.711,42.73,17.06,1756.0,5.835,1055.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-06 18:00:00,1.943,42.89,17.16,1747.4,5.809,1061.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-07 00:00:00,1.85,43.93,17.15,1756.0,5.831,1067.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-07 06:00:00,1.99,43.28,17.22,1765.0,5.705,1073.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-07 12:00:00,1.98,43.12,17.12,1754.9,5.802,1079.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-07 18:00:00,2.023,44.17,17.66,1755.0,5.68,1085.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-08 00:00:00,1.936,43.48,17.59,1748.8,5.777,1091.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-08 06:00:00,1.818,43.64,16.92,1746.4,5.826,1097.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-08 12:00:00,2.115,42.22,16.92,1749.5,5.761,1103.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-08 18:00:00,2.017,43.14,17.58,1753.6,5.822,1109.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-09 00:00:00,1.923,42.78,17.24,1750.3,5.772,1115.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-09 06:00:00,1.856,42.66,17.56,1745.4,5.762,1121.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-09 12:00:00,1.92,42.86,16.96,1749.5,5.77,1127.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-09 18:00:00,1.818,43.82,16.88,1742.3,5.722,1133.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-10 00:00:00,1.704,43.02,17.36,1743.2,5.752,1139.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-10 06:00:00,1.875,43.5,17.25,1744.1,5.803,1145.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-10 12:00:00,1.917,42.63,16.47,1758.0,5.8,1151.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-10 18:00:00,1.881,43.45,17.89,1753.9,5.811,1157.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-11 00:00:00,2.006,43.79,17.28,1754.4,5.803,1163.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-11 06:00:00,1.97,43.28,17.1,1745.7,5.813,1169.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-11 12:00:00,1.886,42.65,17.34,1743.2,5.788,1175.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-11 18:00:00,1.982,42.62,17.27,1758.5,5.694,1181.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-12 00:00:00,1.77,42.34,16.99,1743.2,5.848,1187.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-12 06:00:00,1.905,42.59,16.98,1751.7,5.753,1193.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-12 12:00:00,1.988,42.86,17.43,1752.6,5.801,1199.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-12 18:00:00,1.866,42.95,17.4,1749.8,5.794,1205.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-13 00:00:00,1.814,43.14,16.86,1757.2,5.794,1211.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-13 06:00:00,1.848,42.29,17.82,1746.4,5.846,1217.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-13 12:00:00,1.882,42.34,17.12,1751.3,5.769,1223.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-13 18:00:00,1.861,42.02,17.58,1746.9,5.797,1229.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-14 00:00:00,2.023,43.67,17.29,1746.1,5.777,1235.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-14 06:00:00,1.947,43.93,17.76,1750.5,5.824,1241.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-14 12:00:00,1.9,43.42,17.14,1749.9,5.8,1247.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-14 18:00:00,1.86,43.15,17.5,1749.3,5.839,1253.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-15 00:00:00,1.833,43.02,17.37,1741.2,5.827,1259.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-15 06:00:00,1.97,43.68,16.73,1751.8,5.805,1265.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-15 12:00:00,1.951,43.99,17.02,1747.0,5.737,1271.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-15 18:00:00,1.797,43.33,17.61,1747.8,5.751,1277.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-16 00:00:00,1.891,42.91,17.3,1759.8,5.666,1283.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-16 06:00:00,1.931,43.39,17.03,1751.2,5.754,1289.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-16 12:00:00,1.972,43.69,16.83,1739.9,5.846,1295.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-16 18:00:00,1.854,43.17,17.17,1761.4,5.776,1301.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-17 00:00:00,1.852,43.02,17.73,1746.6,5.852,1307.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-17 06:00:00,1.947,43.35,17.01,1755.5,5.829,1313.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-17 12:00:00,1.798,42.59,17.64,1753.2,5.72,1319.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-17 18:00:00,1.822,42.9,17.41,1748.5,5.651,1325.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-18 00:00:00,1.881,42.82,17.2,1746.7,5.765,1331.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-18 06:00:00,1.948,43.72,17.43,1752.4,5.775,1337.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-18 12:00:00,1.935,43.09,17.58,1756.5,5.73,1343.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-18 18:00:00,1.859,43.48,17.21,1749.8,5.737,1349.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-19 00:00:00,2.082,42.01,17.41,1756.6,5.774,1355.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-19 06:00:00,1.881,43.05,17.47,1747.4,5.8,1361.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-19 12:00:00,1.973,42.75,16.81,1758.7,5.841,1367.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-19 18:00:00,1.953,43.25,16.98,1748.0,5.728,1373.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-20 00:00:00,1.867,43.16,16.74,1748.1,5.806,1379.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-20 06:00:00,1.953,42.15,17.24,1733.5,5.728,1385.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-20 12:00:00,1.884,41.92,17.28,1750.6,5.86,1391.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-20 18:00:00,1.798,42.42,16.91,1739.4,5.804,1397.7,,,0,0,0,0.0
EQ-001,Centrifugal Pump,2025-01-21 00:00:00,1.912,43.15,17.03,1750.9,5.842,1403.7,,,0,0,0,0.0
